contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,delta,gamma,theta,vega,rho
META250328P00512500,2025-03-21 19:54:36+00:00,512.5,0.34,0.0,0.0,0.0,0.0,70.0,0,0.2500075,False,REGULAR,USD,-9.906416173712242e-12,5.021607734095247e-12,-5.5496181603436705e-08,3.668436417934101e-11,-4.870618796056334e-13
META250328P00515000,2025-03-21 19:56:38+00:00,515.0,0.33,0.0,0.0,0.0,0.0,607.0,0,0.2500075,False,REGULAR,USD,-4.215549355461207e-11,2.0712701202912956e-11,-2.2886709954169856e-07,1.5131255054163128e-10,-2.072835137782148e-12
META250328P00517500,2025-03-21 16:46:10+00:00,517.5,0.43,0.0,0.0,0.0,0.0,20.0,0,0.2500075,False,REGULAR,USD,-1.7032880488092063e-10,8.105455255081906e-11,-8.954595835152233e-07,5.921280358039577e-10,-8.376142649198464e-12
META250328P00520000,2025-03-21 19:59:42+00:00,520.0,0.4,0.0,0.0,0.0,0.0,4486.0,0,0.2500075,False,REGULAR,USD,-6.539639238216105e-10,3.011484414745289e-10,-3.326338176014115e-06,2.1999805010820944e-09,-3.216308519221734e-11
META250328P00522500,2025-03-21 19:48:33+00:00,522.5,0.48,0.0,0.0,0.0,0.0,725.0,0,0.2500075,False,REGULAR,USD,-2.3877169851644503e-09,1.0630574156194251e-09,-1.1739633080457876e-05,7.76595613260468e-09,-1.174457966470555e-10
META250328P00525000,2025-03-21 19:54:45+00:00,525.0,0.52,0.0,0.0,0.0,0.0,900.0,0,0.2500075,False,REGULAR,USD,-8.296659929889088e-09,3.5678840754493824e-09,-3.939262182696542e-05,2.6064472914676693e-08,-4.081423381075918e-10
META250328P00527500,2025-03-21 19:47:38+00:00,527.5,0.58,0.0,0.0,0.0,0.0,99.0,0,0.2500075,False,REGULAR,USD,-2.74561636328354e-08,1.1393114257804648e-08,-0.0001257612166200469,8.323014753470204e-08,-1.3508440511678081e-09
META250328P00530000,2025-03-21 19:59:19+00:00,530.0,0.53,0.0,0.0,0.0,0.0,1052.0,0,0.2500075,False,REGULAR,USD,-8.659929142593353e-08,3.463750087348204e-08,-0.0003822470173384637,2.530374261768167e-07,-4.261281870708573e-09
META250328P00532500,2025-03-21 19:50:00+00:00,532.5,0.65,0.0,0.0,0.0,0.0,124.0,0,0.2500075,False,REGULAR,USD,-2.605229210670163e-07,1.0032581455784439e-07,-0.0011068683611604722,7.329104367990024e-07,-1.2821425495928246e-08
META250328P00535000,2025-03-21 19:59:30+00:00,535.0,0.62,0.0,0.0,0.0,0.0,956.0,0,0.2500075,False,REGULAR,USD,-7.480861915567129e-07,2.7702926773733284e-07,-0.0030555282079049633,2.0237826377817437e-06,-3.682228296595253e-08
META250328P00537500,2025-03-21 19:59:41+00:00,537.5,0.69,0.0,0.0,0.0,0.0,286.0,0,0.2500075,False,REGULAR,USD,-2.0518547847847537e-06,7.297353700209968e-07,-0.008046261175251295,5.330937716746926e-06,-1.0101341315284401e-07
META250328P00540000,2025-03-21 19:59:35+00:00,540.0,0.76,0.0,0.0,0.0,0.0,1067.0,0,0.12500875,False,REGULAR,USD,-7.797083854870961e-19,1.026505685041393e-18,-2.8281967396617422e-15,3.749617313762156e-18,-3.825920276683942e-20
META250328P00542500,2025-03-21 19:53:59+00:00,542.5,1.01,0.0,0.0,0.0,0.0,114.0,0,0.12500875,False,REGULAR,USD,-2.6975118945228e-17,3.3906973956830043e-17,-9.338297628502715e-14,1.2385530685169632e-16,-1.3237085176238783e-18
META250328P00545000,2025-03-21 19:59:22+00:00,545.0,0.92,0.0,0.0,0.0,0.0,859.0,0,0.12500875,False,REGULAR,USD,-7.802272143689049e-16,9.345281473838717e-16,-2.572679309429247e-12,3.4136420018826655e-15,-3.828931751466547e-17
META250328P00547500,2025-03-21 19:53:08+00:00,547.5,1.24,0.0,0.0,0.0,0.0,263.0,0,0.12500875,False,REGULAR,USD,-1.8916019941625394e-14,2.154359739193522e-14,-5.927996750960389e-11,7.869439688321272e-14,-9.283599301477384e-16
